id,user_id,post_id,facet_id,facet_value_id,created_at,pay_rate
13f40611-ba81-4960-9721-d505f0a0dcda,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0ce7a25e-4521-463c-905d-0816a7d5ca38,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:34.256501+00,0.0000
72321233-a3fe-4b1c-af2f-99d72de9ac53,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0ce7a25e-4521-463c-905d-0816a7d5ca38,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:35.038287+00,0.0000
a7c2d25f-7eaf-4b4b-93a3-0b5450d4365e,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cea26cd-e8af-46e3-953e-a0e2474e4538,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:40.855136+00,0.0000
84fcdd22-6623-4890-a509-100ac5bf7c7f,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cea26cd-e8af-46e3-953e-a0e2474e4538,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:41.23912+00,0.0000
5a8dab3b-7dc7-4977-89ea-473f16b85b4c,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0ceee705-96e2-40d2-b6a0-9635b123d0d2,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:43.661856+00,0.0000
501afe20-6c49-4d9c-9009-c08b085e229b,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0ceee705-96e2-40d2-b6a0-9635b123d0d2,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:44.043401+00,0.0000
6353dea6-d1ad-48fa-b4dd-57a8e246b8f5,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf00343-0e98-458e-a801-9a6dba958bea,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:46.046264+00,0.0000
48a70968-8175-4937-a901-9a280a1f7ef0,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf00343-0e98-458e-a801-9a6dba958bea,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:46.266258+00,0.0000
641d88cb-4df8-472a-ab6b-30b16157b3c9,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf02dfc-92a6-4c45-9dbd-06532562f89a,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:48.806567+00,0.0000
07cd5ac6-ba66-464f-82e0-c6a67e811e2d,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf02dfc-92a6-4c45-9dbd-06532562f89a,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:49.161367+00,0.0000
ad477db0-4cce-4b9f-953b-9fc0c8eb4e45,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf0b364-d2cc-41cf-8cd4-932d0c1cb1c5,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:51.552357+00,0.0000
233f8b11-b5d9-4eaf-9fd0-9ccf5bd9d32b,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf0b364-d2cc-41cf-8cd4-932d0c1cb1c5,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:51.848667+00,0.0000
7384d1b0-7140-4285-ab9b-600abb00ca48,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf18bab-8e40-40d5-955f-59a25310ae9d,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:55.451009+00,0.0000
07cce044-4908-4b2a-b2d6-720961423ad7,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf18bab-8e40-40d5-955f-59a25310ae9d,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:55.889493+00,0.0000
d288cbbd-9f0a-47bd-afd9-7849ec40c546,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf1c515-50e3-4300-8f7e-f0f5e90889b7,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:29:57.901143+00,0.0000
570f33c7-6604-4450-9c2d-d0f79a990519,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf1c515-50e3-4300-8f7e-f0f5e90889b7,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:29:58.446836+00,0.0000
87eff7d7-74f4-4148-97c2-51ececc29c29,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf234bd-cb87-4ab7-9404-85df9419180d,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:00.260857+00,0.0000
12d59d43-a127-413a-9a87-785f611cd846,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf234bd-cb87-4ab7-9404-85df9419180d,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:30:00.737979+00,0.0000
6257a507-2e0d-4c90-8159-a9b2e3955d36,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf34309-d67d-46ac-a860-2e3b3a59cf72,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:03.165898+00,0.0000
c8718a02-7860-413c-af15-1aa8d1dbdc19,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf34309-d67d-46ac-a860-2e3b3a59cf72,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:30:03.572797+00,0.0000
cc78ebc9-08d7-4e97-b02c-8e0c2a0d8643,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf68aa5-5d19-47ab-b316-8c4c4d46878a,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:06.258582+00,0.0000
1e4dc77e-f307-44e8-a2f3-81cb4f3b66b5,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf68aa5-5d19-47ab-b316-8c4c4d46878a,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:30:06.640516+00,0.0000
d84fea38-150d-4e2d-af16-b123c9ba7662,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf6b189-7a40-4766-a8fa-cda4c0e64666,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:08.345843+00,0.0000
15117249-7846-4773-8346-5b69a16edbba,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf6b189-7a40-4766-a8fa-cda4c0e64666,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:30:09.56663+00,0.0000
d5ee120a-525d-4c63-838c-a106a5e2fa6f,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf6ce73-86eb-411c-828a-2934894d1e44,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:11.567784+00,0.0000
7c1d04e7-b4cb-42fe-bce9-2602a7dee16d,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf6ce73-86eb-411c-828a-2934894d1e44,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:30:12.098357+00,0.0000
c8694feb-72bd-4515-8fb1-dff29a63979c,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf88bb9-026f-493d-90e5-cd61ea1668a2,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:13.792945+00,0.0000
e7c61025-2dfe-4c01-97e8-b96e2be09a7e,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf88bb9-026f-493d-90e5-cd61ea1668a2,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:30:16.708772+00,0.0000
adb3e39d-9212-4242-8087-11bd398013fa,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf924ea-4621-4311-ac42-9b778af52fbb,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:18.546351+00,0.0000
3625fcb9-3158-4aaa-aabf-4c79fcd7399f,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cf924ea-4621-4311-ac42-9b778af52fbb,6a357164-427a-42c1-99d8-76678b5c3a5e,c89c6464-0651-4869-b564-ad015916c8b0,2020-05-01 01:30:19.043824+00,0.0000
6ce2c373-3acb-4e7b-b26b-98bc6a46f509,bd46eb64-9640-4e0f-9a39-a85027ddcaed,0cfa0c98-b2ab-4b2a-a091-95ce26dc66ad,704fb44f-cde1-43de-92d8-835a9bffc891,03d6912e-4488-4b19-8d88-2b7728b7fd5d,2020-05-01 01:30:23.302888+00,0.0000
